Gene,Pathway,Pathway_Description,Function,type,active_site,inhibitors,pdb_available,note,cleavage_sites,metal_binding,signal,blockers,cofactor,mutations,receptor
CYBA,Oxidative_Stress,氧化应激与血管功能,NO生物利用度下降,Unknown,,,,需要进一步研究,,,,,,,
NCF1,Oxidative_Stress,氧化应激与血管功能,NO生物利用度下降,Unknown,,,,需要进一步研究,,,,,,,
IL1B,Inflammation,血管炎症反应,内皮功能障碍,Cytokine,,Anakinra (IL-1受体拮抗剂),True,IL-1β阻断剂用于炎症治疗,,,,,,,IL1R1/IL1R2
IL6,Inflammation,血管炎症反应,内皮功能障碍,Unknown,,,,需要进一步研究,,,,,,,
TNF,Inflammation,血管炎症反应,内皮功能障碍,Cytokine,,"Etanercept, Infliximab (TNF-α抑制剂)",True,单克隆抗体用于自身免疫疾病,,,,,,,
NFKB1,Inflammation,血管炎症反应,内皮功能障碍,Transcription factor,,"BAY 11-7082, IKK inhibitor",True,NF-κB是炎症信号核心转录因子,,,,,,,
NFKB2,Inflammation,血管炎症反应,内皮功能障碍,Unknown,,,,需要进一步研究,,,,,,,
PTGS2,Inflammation,血管炎症反应,内皮功能障碍,Unknown,,,,需要进一步研究,,,,,,,
COX2,Inflammation,血管炎症反应,内皮功能障碍,Unknown,,,,需要进一步研究,,,,,,,
ICAM1,Inflammation,血管炎症反应,内皮功能障碍,Unknown,,,,需要进一步研究,,,,,,,
VCAM1,Inflammation,血管炎症反应,内皮功能障碍,Unknown,,,,需要进一步研究,,,,,,,
SELE,Inflammation,血管炎症反应,内皮功能障碍,Unknown,,,,需要进一步研究,,,,,,,
CALM1,Calcium,钙信号与血管收缩,血管平滑肌收缩,Unknown,,,,需要进一步研究,,,,,,,
CALM2,Calcium,钙信号与血管收缩,血管平滑肌收缩,Unknown,,,,需要进一步研究,,,,,,,
CALM3,Calcium,钙信号与血管收缩,血管平滑肌收缩,Unknown,,,,需要进一步研究,,,,,,,
CALML4,Calcium,钙信号与血管收缩,血管平滑肌收缩,Unknown,,,,需要进一步研究,,,,,,,
CALML5,Calcium,钙信号与血管收缩,血管平滑肌收缩,Unknown,,,,需要进一步研究,,,,,,,
CALD1,Calcium,钙信号与血管收缩,血管平滑肌收缩,Unknown,,,,需要进一步研究,,,,,,,
MYL6,Calcium,钙信号与血管收缩,血管平滑肌收缩,Unknown,,,,需要进一步研究,,,,,,,
MYH11,Calcium,钙信号与血管收缩,血管平滑肌收缩,Unknown,,,,需要进一步研究,,,,,,,
ACTA2,Calcium,钙信号与血管收缩,血管平滑肌收缩,Unknown,,,,需要进一步研究,,,,,,,
CNN1,Calcium,钙信号与血管收缩,血管平滑肌收缩,Unknown,,,,需要进一步研究,,,,,,,
EDN1,Endothelial,内皮功能调节,血管舒缩,Unknown,,,,需要进一步研究,,,,,,,
EDNRA,Endothelial,内皮功能调节,血管舒缩,Unknown,,,,需要进一步研究,,,,,,,
EDNRB,Endothelial,内皮功能调节,血管舒缩,Unknown,,,,需要进一步研究,,,,,,,
ECE1,Endothelial,内皮功能调节,血管舒缩,Unknown,,,,需要进一步研究,,,,,,,
ECE2,Endothelial,内皮功能调节,血管舒缩,Unknown,,,,需要进一步研究,,,,,,,
VEGFA,Endothelial,内皮功能调节,血管舒缩,Unknown,,,,需要进一步研究,,,,,,,
KDR,Endothelial,内皮功能调节,血管舒缩,Unknown,,,,需要进一步研究,,,,,,,
FLT1,Endothelial,内皮功能调节,血管舒缩,Unknown,,,,需要进一步研究,,,,,,,
PECAM1,Endothelial,内皮功能调节,血管舒缩,Unknown,,,,需要进一步研究,,,,,,,
CDH5,Endothelial,内皮功能调节,血管舒缩,Unknown,,,,需要进一步研究,,,,,,,
ADRA1A,Sympathetic,交感神经系统,血管收缩,Unknown,,,,需要进一步研究,,,,,,,
ADRA1B,Sympathetic,交感神经系统,血管收缩,Unknown,,,,需要进一步研究,,,,,,,
ADRA1D,Sympathetic,交感神经系统,血管收缩,Unknown,,,,需要进一步研究,,,,,,,
ADRA2A,Sympathetic,交感神经系统,血管收缩,Unknown,,,,需要进一步研究,,,,,,,
ADRA2B,Sympathetic,交感神经系统,血管收缩,Unknown,,,,需要进一步研究,,,,,,,
ADRB1,Sympathetic,交感神经系统,血管收缩,Unknown,,,,需要进一步研究,,,,,,,
ADRB2,Sympathetic,交感神经系统,血管收缩,Unknown,,,,需要进一步研究,,,,,,,
DBH,Sympathetic,交感神经系统,血管收缩,Unknown,,,,需要进一步研究,,,,,,,
PNMT,Sympathetic,交感神经系统,血管收缩,Unknown,,,,需要进一步研究,,,,,,,
TH,Sympathetic,交感神经系统,血管收缩,Unknown,,,,需要进一步研究,,,,,,,
